海賊食堂,溫州街,106台北市大安區羅斯福路三段283巷19弄2號,90-180,$ $$,台式,麵、飯、炒手、雲吞,米食 麵食 餃類,有提供素食,有,40,"日一二三四五六,1100-2200",bento.png,C H
滇味小館,溫州街,106台北市大安區羅斯福路三段283巷8號,90-120,$ $$,中式,麵、飯,米食 麵食,葷,有,35,"日一二三四五六,1100-1400/1700-2100",southeast.png,C H
蠶居,溫州街,106台北市大安區羅斯福路三段283巷7弄2號,80-150,$ $$,中式,飯、麵,米食 麵食,葷,有,50+,"日一二三四五六,1030-2100",bento.png,C H
希臘左巴,溫州街,106台北市大安區羅斯福路三段283巷7弄16號,280-520,$$$ $$$$ $$$$$,西式,飯、肉派、麵,米食 麵食 派,葷,有,30,"日一二三四五六,1100-2200",pasta02.png,C H
牛洞食堂,溫州街,106台北市大安區羅斯福路三段277-1號,85-220,$ $$ $$$,日式,飯,米食,葷,有,50+,"一二三四五,1130-1600/1700-2100 六日,1130-2100",donburi.png,C H
素德蔬食,溫州街,106台北市大安區羅斯福路三段283巷21號,自助餐,$ $$ $$$ $$$$ $$$$$,台式,飯,米食,全素,有,50+,"日一二三四五六,1100-1400/1700-1930",vege.png,C H
Quichez 派出所,溫州街,106台北市大安區溫州街74巷14號,100-150,$ $$,西式,鹹派,派,葷,有,5,"日一二三四五六,0900-2130",pie.png,H
泰街頭,溫州街,10648台北市大安區溫州街74巷6號,110-180,$$,東南亞料理,飯、麵、河粉、冬粉,米食 麵食,葷,有,14,"日一二三四五六,1130-1430/1700-2100",vietnam.png,C H
阿英滷肉飯,溫州街,106台北市大安區溫州街74巷5弄1號,30-200,$ $$,中式,飯、麵,米食 麵食,葷,有,25,"日一二三四五,1130-1330/1730-2000",porkrice.png,C H
德滿芬專門店,溫州街,106台北市大安區羅斯福路三段283巷38號,100-300,$ $$ $$$,西式,麵、三明治,麵食 三明治,葷,有,20,"日二三四五六,1200-1800",pasta01.png,C H
小川西堂,溫州街,106台北市大安區羅斯福路三段283巷38號,80-300,$ $$ $$$,中式,麵,麵食,葷,有,20,"日一二三四五六,1100-1500/1700-2100",spicyndl.png,C H
半路咖啡,溫州街,106台北市大安區羅斯福路三段269巷51弄9號,80-120,$ $$,日式 西式,飯、潛艇堡、鹹派,米食 潛艇堡 派,葷,有,30,"日一三四五六,1400-2400",cafe.png,C H
Masala House 香料館,溫州街,106台北市大安區羅斯福路三段269巷6號,130-300,$$ $$$,南洋料理,飯、烤餅,米食 烤餅,葷,有,40,"日一二四五六,1130-1400/1730-2100",hk.png,C
歐嬤德式美食 哥德店,溫州街,106台北市大安區辛亥路一段30號,160-420,$$ $$$ $$$$,西式,飯、排餐、麵包,米食 麵包 排餐,葷,有,30,"日一二三四五六,0900-2100",steak.png,C H
Fl?gel Studio,溫州街,106台北市大安區辛亥路一段34巷3號一樓,200-350,$$ $$$ $$$$,西式,麵包、鹹派,麵包 派,葷,有,30,"一三四五,1400-1900 六日,1300-1900",cafe.png,H
歐嬤德式烘焙 公館總店,溫州街,106台北市大安區辛亥路一段46號,160-420,$$ $$$ $$$$,西式,飯、排餐、麵包,飯 排餐 麵包,葷,有,30,"日一二三四五六,0700-2030",steak.png,C H
滴咖啡,溫州街,106台北市大安區辛亥路一段50號,100-600,$ $$ $$$ $$$$ $$$$$,西式,肉派、排餐、沙拉、麵,派 麵食 排餐 沙拉,葷,有,20,"日一二三四五六,1000-2300",steak.png,C H
達美樂台大店,溫州街,106台北市大安區辛亥路一段56號 1樓,300-1000,$$$$ $$$$$,台式 西式,披薩,披薩,有提供素食,無,0,"日一二三四,1100-2200 五六,1100-2300",pizza.png,C H
喜鵲咖啡,溫州街,106台北市大安區羅斯福路三段269巷74號,160-230,$$ $$$,西式,沙拉、潛艇堡、披薩,潛艇堡 沙拉 披薩,葷,有,30,"日一二三四五六,1300-2245",pizza.png,C H
葛樂蒂咖啡館,溫州街,106台北市大安區辛亥路一段136號,170-400,$$ $$$ $$$$,西式,鹹派、沙拉,派 沙拉,有提供素食,有,20,"日一二三四五六,1130-2130",cafe.png,H
樹下蘇活,溫州街,106台北市大安區溫州街48-1號號,200-520,$$ $$$ $$$$ $$$$$,西式,沙拉、派、排餐,派 沙拉 排餐,葷,有,15,"日一三四五六,1130-2200",steak.png,C H
老先覺,溫州街,106台北市大安區羅斯福路三段283巷18號,150-250,$$ $$$,中式,鍋物、滷味,鍋物 滷味,有提供素食,有,50+,"日一二三四五六,1130-2200",hot01.png,C
越南清化河粉,溫州街,106台北市大安區溫州街74巷8號,80-180,$ $$,東南亞料理,河粉、米線,麵食,葷,有,20,"日二三四五六,1130-1500/1700-2030",vietnam.png,C H
Rebirth Cafe & Restaurant,溫州街,106台北市大安區溫州街48巷2號,200-300,$$ $$$,中式 西式 日式,烤物、飯、麵,米食 麵食 烤物,葷,有,40,"日一二三四五六,0000-0200/1400-2400",snow.png,C H
AGCT apartment,溫州街,106台北市大安區溫州街49巷2-2號號3F,200-250,$$ $$$,西式,派、三明治、沙拉、麵,麵食 三明治 沙拉 派,葷,有,20,"日一二三四五六,1200-1800",pasta02.png,C H
找到咖啡,溫州街,106台北市大安區羅斯福路四段1號2樓,250-400,$$$ $$$$,西式 中式 日式,飯、排餐、麵包,米食 排餐 麵包,葷,有,50+,"日一二三四五六,1000-2000",steak.png,C H
轉角咖啡 L'angolo Caff?,118,106台北市大安區和平東路二段96巷53號,150-200,$$,西式,糕點、輕食,輕食,有提供素食,有,20,"日一二三四五六,0900-1900",coffee01.png,C H
貝菈小屋,118,106台北市大安區辛亥路二段159號,160-270,$$ $$$,西式,麵,麵食,有提供素食,有,30,"日一二三四五六,1130-1430/1700-2100",pasta01.png,C H
厚宅,118,106台北市大安區辛亥路二段169號,110-190,$$,日式,飯,米食,葷,有,40,"一二三四五六,1100-1400/1700-2000",curry01.png,C
lazy thai,118,106台北市大安區辛亥路二段165號,100-150,$ $$,東南亞料理,飯,米食,有提供素食,有,30,"日一二三四五六,1130-1400/1700-2000",southeast.png,C H
starbucks,118,106台北市大安區辛亥路二段175號,90-200,$ $$,西式,咖啡、糕點、輕食,輕食 糕點,有提供素食,有,50,"一二三四五,0630-2000 六日,0630-1900",starbucks.png,C H
